Time,Charge Percentage
5,60.51
6,99.51
7,99.9
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
101,100
102,100
103,100
104,100
105,46.33
106,99.41
107,99.71
108,99.8
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,54.74
206,99.32
207,99.71
208,99.9
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
301,100
302,100
303,100
304,100
305,54.45
306,99.22
307,99.71
308,99.9
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,100
331,99.9
332,99.51
333,100
334,99.71
335,99.9
336,99.9
337,99.8
338,100
339,100
340,100
341,99.9
342,100
343,99.9
344,100
345,99.8
346,100
347,99.8
348,100
349,100
350,100
351,100
352,100
353,100
354,99.41
355,95.41
356,93.45
357,92.28
358,92.28
359,91.98
360,91.79
361,91.69
362,91.98
363,92.18
364,91.98
365,91.89
366,91.79
367,91.69
368,91.5
369,91.3
370,91.4
371,91.3
372,91.1
373,90.91
374,90.71
375,90.52
376,90.22
377,90.03
378,89.83
379,89.83
380,89.83
381,89.74
382,89.64
383,89.25
384,89.05
385,88.86
386,89.05
387,88.86
388,88.76
389,88.76
390,88.66
391,88.76
392,88.56
393,88.27
394,87.39
395,87.1
396,86.71
397,86.51
398,65.98
399,60.7
400,60.02
401,57.48
402,56.21
403,55.33
404,54.15
405,9.68
406,34.9
407,36.36
408,37.63
409,37.73
410,37.63
411,37.83
412,37.83
413,37.44
414,37.54
415,37.93
416,37.93
417,38.32
418,37.73
419,37.54
420,37.54
421,37.63
422,36.85
423,36.66
424,36.56
425,36.36
426,36.27
427,36.27
428,35.78
429,36.17
430,36.36
431,36.46
432,36.46
433,36.46
434,36.46
435,36.17
436,36.27
437,35.97
438,35.97
439,35.78
440,35.68
441,35.87
442,35.78
443,35.48
444,35.29
445,35.19
446,35
447,35.39
448,35.39
449,35
450,35
451,35.09
452,35.29
453,35.09
454,35.19
455,35.19
456,35
457,35.19
458,35.39
459,35.09
460,35.19
461,35
462,35.19
463,34.8
464,35.09
465,35
466,34.8
467,35.09
468,34.9
469,35
470,34.9
471,34.9
472,34.8
473,34.51
474,34.31
475,34.41
476,34.6
477,34.51
478,34.31
479,34.12
480,34.51
481,34.6
482,34.31
483,34.31
484,34.7
485,34.6
486,34.41
487,34.41
488,34.41
489,34.21
490,34.51
491,34.7
492,34.41
493,34.7
494,34.7
495,34.7
496,34.41
497,34.41
498,34.6
499,34.41
500,34.41
501,34.51
502,34.31
503,34.51
504,34.31
505,9.68
506,30.11
507,31.67
508,33.24
509,34.02
510,34.41
511,34.31
512,34.8
513,34.41
514,34.8
515,34.6
516,34.7
517,34.9
518,34.9
519,34.8
520,34.7
521,34.6
522,34.51
523,34.51
524,34.51
525,34.51
526,34.41
527,34.31
528,34.6
529,34.6
530,34.51
531,34.51
532,34.51
533,34.51
534,34.51
535,34.41
536,34.21
537,34.31
538,34.41
539,34.41
540,34.31
541,34.51
542,34.21
543,34.6
544,34.21
545,34.51
546,34.41
547,34.41
548,34.41
549,34.41
550,34.6
551,34.6
552,34.41
553,34.51
554,34.7
555,34.6
556,34.6
557,34.51
558,34.51
559,34.41
560,34.6
561,34.6
562,34.6
563,34.41
564,34.31
565,34.21
566,34.6
567,34.6
568,34.51
569,34.41
570,34.21
571,34.6
572,34.51
573,34.6
574,34.7
575,34.41
576,34.41
577,34.41
578,34.21
579,34.6
580,34.8
581,34.6
582,34.7
583,34.41
584,34.8
585,34.8
586,34.6
587,34.8
588,34.6
589,34.21
590,34.31
591,34.31
592,34.41
593,34.21
594,34.51
595,34.51
596,34.21
597,34.51
598,34.51
599,34.41
600,34.51
601,34.21
602,34.21
603,34.21
604,34.21
605,8.8
606,30.01
607,31.38
608,32.84
609,33.24
610,33.82
611,34.12
612,34.02
613,34.21
614,34.51
615,34.6
616,34.31
617,34.51
618,34.31
619,34.41
620,34.51
621,34.41
622,34.41
623,34.51
624,34.51
625,34.51
626,34.41
627,34.41
628,34.31
629,34.51
630,34.41
631,34.31
632,34.41
633,34.51
634,34.21
635,34.41
636,34.51
637,34.31
638,34.41
639,34.31
640,34.51
641,34.51
642,34.31
643,34.31
644,34.41
645,34.31
646,34.41
647,34.6
648,34.41
649,34.51
650,34.21
651,34.41
652,34.51
653,34.6
654,34.51
655,34.6
656,34.6
657,34.7
658,34.6
659,34.6
660,34.41
661,34.51
662,34.51
663,34.21
664,34.12
665,34.41
666,34.21
667,34.21
668,34.21
669,34.31
670,34.02
671,34.31
672,34.41
673,34.8
674,34.7
675,34.41
676,34.6
677,34.7
678,34.7
679,34.51
680,34.51
681,34.02
682,33.53
683,33.53
684,33.63
685,33.72
686,34.41
687,34.41
688,34.21
689,34.51
690,34.31
691,34.31
692,34.21
693,34.02
694,34.41
695,34.9
696,35.29
697,35.58
698,35.87
699,37.34
700,50.93
701,95.41
702,97.07
703,98.34
704,99.8
705,48.48
706,99.41
707,99.9
708,100
709,100
710,100
711,100
712,100
713,100
714,100
715,100
716,100
717,100
718,100
719,100
720,100
721,100
722,100
723,100
724,100
725,100
726,100
727,100
728,100
729,100
730,100
731,100
732,100
733,100
734,100
735,100
736,100
737,100
738,100
739,100
740,100
741,100
742,100
743,100
744,100
745,100
746,100
747,100
748,100
749,100
750,100
751,100
752,100
753,100
754,100
755,100
756,100
757,100
758,100
759,100
760,100
761,100
762,100
763,100
764,100
765,100
766,100
767,100
768,100
769,100
770,100
771,100
772,100
773,100
774,100
775,100
776,100
777,100
778,100
779,100
780,100
781,100
782,100
783,100
784,100
785,100
786,100
787,100
788,100
789,100
790,100
791,100
792,100
793,100
794,100
795,100
796,100
797,100
798,100
799,100
800,100
801,100
802,100
803,100
804,100
805,51.61
806,98.92
807,99.32
808,99.9
809,100
810,100
811,100
812,100
813,100
814,100
815,100
816,100
817,100
818,100
819,100
820,100
821,100
822,100
823,100
824,100
825,100
826,100
827,100
828,100
829,100
830,100
831,100
832,100
833,100
834,100
835,100
836,100
837,100
838,100
839,100
840,100
841,100
842,100
843,100
844,100
845,100
846,100
847,100
848,100
849,100
850,100
851,99.22
852,100
853,100
854,99.61
855,100
856,100
857,100
858,99.61
859,100
860,100
861,100
862,99.61
863,100
864,99.32
865,100
866,100
867,100
868,98.04
869,100
870,100
871,99.61
872,100
873,100
874,100
875,99.61
876,100
877,100
878,100
879,99.9
880,100
881,98.83
882,81.62
883,82.21
884,85.53
885,88.27
886,88.66
887,91.79
888,92.96
889,92.96
890,93.16
891,93.45
892,93.55
893,93.65
894,94.13
895,93.84
896,93.74
897,93.94
898,94.23
899,94.23
900,93.35
901,93.16
902,93.16
903,93.06
904,93.06
905,10.07
906,33.53
907,35.29
908,36.95
909,37.44
910,37.93
911,38.32
912,38.03
913,38.22
914,38.12
915,37.54
916,37.15
917,37.15
918,36.85
919,35.87
920,35.48
921,35.09
922,34.6
923,34.51
924,34.21
925,33.92
926,33.92
927,33.82
928,33.63
929,33.53
930,33.43
931,33.04
932,32.94
933,33.04
934,32.94
935,32.55
936,32.65
937,32.75
938,32.45
939,32.36
940,31.96
941,31.67
942,31.57
943,31.77
944,31.87
945,31.67
946,31.28
947,31.38
948,30.89
949,31.18
950,31.28
951,30.89
952,30.89
953,30.89
954,30.99
955,30.89
956,30.69
957,30.69
958,30.99
959,30.99
960,31.09
961,30.69
962,31.09
963,31.18
964,31.28
965,31.18
966,31.09
967,31.09
968,30.89
969,31.28
970,31.38
971,31.48
972,31.67
973,31.67
974,31.67
975,31.28
976,31.48
977,31.57
978,31.67
979,31.28
980,31.09
981,31.38
982,31.09
983,30.89
984,31.09
985,30.69
986,30.79
987,30.99
988,30.79
989,30.99
990,31.09
991,31.57
992,31.09
993,31.28
994,31.28
995,31.28
996,31.09
997,31.09
998,31.28
999,31.28
1000,31.48
1001,31.57
1002,31.57
1003,31.67
1004,31.67
1005,10.26
1006,26.1
1007,27.57
1008,29.33
1009,30.01
1010,30.89
1011,31.09
1012,31.18
1013,31.28
1014,31.38
1015,31.48
1016,31.67
1017,31.67
1018,31.57
1019,31.67
1020,31.38
1021,31.67
1022,31.67
1023,31.67
1024,31.57
1025,31.48
1026,31.18
1027,31.48
1028,31.67
1029,31.57
1030,31.57
1031,31.28
1032,31.48
1033,31.57
1034,31.38
1035,31.48
1036,31.18
1037,31.67
1038,31.48
1039,31.48
1040,31.67
1041,31.57
1042,31.67
1043,31.67
1044,31.48
1045,31.67
1046,31.67
1047,31.67
1048,31.48
1049,31.57
1050,31.67
1051,31.48
1052,31.48
1053,31.48
1054,31.48
1055,31.48
1056,31.38
1057,31.48
1058,31.28
1059,31.48
1060,31.38
1061,31.67
1062,31.57
1063,31.57
1064,31.48
1065,31.09
1066,30.99
1067,31.38
1068,31.38
1069,31.48
1070,31.57
1071,31.48
1072,31.57
1073,31.67
1074,31.77
1075,31.67
1076,31.67
1077,31.67
1078,31.77
1079,31.57
1080,31.48
1081,31.09
1082,30.99
1083,30.99
1084,30.89
1085,31.18
1086,31.09
1087,31.09
1088,30.69
1089,30.89
1090,30.69
1091,30.89
1092,30.99
1093,30.99
1094,31.28
1095,31.09
1096,30.99
1097,31.28
1098,31.18
1099,31.38
1100,31.18
1101,30.99
1102,31.48
1103,31.57
1104,31.48
1105,10.75
1106,26.88
1107,28.45
1108,30.11
1109,30.6
1110,30.99
1111,31.48
1112,31.38
1113,31.48
1114,31.87
1115,31.87
1116,32.16
1117,32.16
1118,32.26
1119,32.26
1120,32.55
1121,32.55
1122,32.36
1123,32.75
1124,32.65
1125,32.45
1126,32.45
1127,32.65
1128,32.65
1129,32.65
1130,32.45
1131,32.45
1132,32.55
1133,32.26
1134,32.45
1135,32.45
1136,32.55
1137,32.45
1138,32.55
1139,32.45
1140,32.45
1141,32.16
1142,32.26
1143,32.26
1144,31.96
1145,32.26
1146,32.26
1147,32.36
1148,32.16
1149,32.26
1150,32.45
1151,32.06
1152,32.16
1153,32.36
1154,32.06
1155,32.26
1156,32.45
1157,32.26
1158,32.45
1159,32.26
1160,32.36
1161,32.45
1162,32.36
1163,32.26
1164,32.16
1165,32.45
1166,32.45
1167,32.65
1168,32.65
1169,32.55
1170,32.75
1171,32.45
1172,32.65
1173,32.45
1174,32.55
1175,32.75
1176,32.84
1177,32.65
1178,32.94
1179,32.94
1180,32.94
1181,32.84
1182,32.84
1183,32.84
1184,32.94
1185,32.84
1186,33.04
1187,32.65
1188,32.84
1189,32.84
1190,32.55
1191,32.45
1192,32.84
1193,32.65
1194,32.55
1195,32.75
1196,32.65
1197,32.65
1198,32.75
1199,32.65
1200,32.45
1201,32.45
1202,32.65
1203,32.55
1204,32.45
1205,10.26
1206,27.47
1207,29.13
1208,30.69
1209,31.57
1210,32.16
1211,32.45
1212,32.65
1213,32.75
1214,33.04
1215,33.24
1216,33.33
1217,33.24
1218,33.24
1219,33.14
1220,33.33
1221,33.04
1222,33.04
1223,33.24
1224,33.43
1225,33.43
1226,33.53
1227,33.63
1228,33.63
1229,33.82
1230,33.92
1231,34.41
1232,34.41
1233,34.6
1234,35.39
1235,35.78
1236,36.07
1237,36.75
1238,38.71
1239,40.86
1240,44.38
1241,47.9
1242,52.49
1243,72.04
1244,82.21
1245,86.61
1246,89.93
1247,91.2
1248,92.96
1249,94.33
1250,96.68
1251,96.87
1252,99.8
1253,99.8
1254,99.9
1255,100
1256,100
1257,100
1258,100
1259,100
1260,100
1261,100
1262,100
1263,100
1264,100
1265,100
1266,100
1267,100
1268,100
1269,100
1270,100
1271,100
1272,100
1273,100
1274,100
1275,100
1276,100
1277,100
1278,100
1279,100
1280,100
1281,100
1282,100
1283,100
1284,100
1285,100
1286,100
1287,100
1288,100
1289,100
1290,100
1291,100
1292,100
1293,100
1294,100
1295,100
1296,100
1297,100
1298,100
1299,100
1300,100
1301,100
1302,100
1303,100
1304,100
1305,54.35
1306,98.44
1307,99.71
1308,99.9
1309,100
1310,100
1311,100
1312,100
1313,100
1314,100
1315,100
1316,100
1317,100
1318,100
1319,100
1320,100
1321,100
1322,100
1323,100
1324,100
1325,100
1326,100
1327,100
1328,100
1329,100
1330,100
1331,100
1332,100
1333,100
1334,100
1335,100
1336,100
1337,100
1338,100
1339,100
1340,100
1341,100
1342,100
1343,100
1344,100
1345,100
1346,100
1347,100
1348,100
1349,100
1350,100
1351,100
1352,100
1353,100
1354,100
1355,100
1356,100
1357,100
1358,100
1359,100
1360,100
1361,100
1362,100
1363,100
1364,100
1365,100
1366,100
1367,100
1368,100
1369,100
1370,100
1371,100
1372,100
1373,100
1374,100
1375,100
1376,100
1377,100
1378,100
1379,100
1380,100
1381,100
1382,100
1383,100
1384,100
1385,100
1386,100
1387,100
1388,100
1389,100
1390,100
1391,100
1392,100
1393,100
1394,100
1395,100
1396,100
1397,100
1398,100
1399,100
1400,100
1401,100
1402,100
1403,100
1404,100
1405,52.79
1406,98.92
1407,100
1408,100
1409,100
1410,100
1411,100
1412,100
1413,100
1414,100
1415,100
1416,100
1417,100
1418,100
1419,100
1420,100
1421,100
1422,100
1423,100
1424,100
1425,100
1426,100
1427,100
1428,100
1429,100
1430,100
1431,100
1432,100
1433,100
1434,100
1435,100
1436,100
1437,100
1438,100
1439,100
1440,100
1441,100
1442,100
1443,100
1444,100
1445,100
1446,100
1447,100
1448,100
1449,100
1450,100
1451,100
1452,100
1453,100
1454,100
1455,100
1456,100
1457,100
1458,100
1459,100
1460,100
1461,100
1462,100
1463,100
1464,100
1465,100
1466,100
1467,100
1468,100
1469,100
1470,100
1471,100
1472,100
1473,100
1474,100
1475,100
1476,100
1477,100
1478,100
1479,100
1480,100
1481,100
1482,100
1483,100
1484,100
1485,100
1486,100
1487,100
1488,100
1489,100
1490,100
1491,100
1492,100
1493,100
1494,100
1495,100
1496,100
1497,100
1498,100
1499,100
1500,100
1501,100
1502,100
1503,100
1504,100
1505,50.93
1506,98.24
1507,99.12
1508,99.51
1509,99.41
1510,99.8
1511,99.32
1512,99.61
1513,99.8
1514,99.9
1515,99.8
1516,99.8
1517,99.9
1518,99.8
1519,99.8
1520,99.71
1521,100
1522,99.71
1523,100
1524,99.71
1525,100
1526,99.71
1527,100
1528,99.8
1529,100
1530,100
1531,100
1532,100
1533,100
1534,100
1535,99.9
1536,100
1537,99.8
1538,100
1539,95.21
1540,94.13
1541,93.26
1542,92.96
1543,92.57
1544,92.47
1545,92.38
1546,92.28
1547,92.28
1548,92.08
1549,92.18
1550,91.98
1551,91.98
1552,91.89
1553,91.79
1554,91.59
1555,91.69
1556,91.59
1557,91.59
1558,91.59
1559,91.59
1560,91.69
1561,91.59
1562,91.4
1563,91.4
1564,91.3
1565,91.4
1566,91.5
1567,91.3
1568,91.3
1569,91.4
1570,91.3
1571,91.3
1572,91.3
1573,91.4
1574,91.4
1575,91.4
1576,91.2
1577,91.3
1578,91.2
1579,91.3
1580,91.3
1581,91.3
1582,91.3
1583,91.2
1584,91.2
1585,91.1
1586,91.01
1587,90.91
1588,90.91
1589,90.22
1590,89.83
1591,89.54
1592,89.64
1593,89.35
1594,89.44
1595,89.35
1596,89.25
1597,89.15
1598,89.05
1599,89.05
1600,88.86
1601,88.95
1602,88.86
1603,88.66
1604,88.27
1605,41.84
1606,83.28
1607,83.28
1608,83.58
1609,83.19
1610,82.31
1611,82.01
1612,81.82
1613,82.01
1614,81.82
1615,81.52
1616,81.23
1617,81.04
1618,80.84
1619,80.65
1620,80.25
1621,80.06
1622,79.86
1623,79.57
1624,78.98
1625,78.69
1626,78.3
1627,78.01
1628,77.61
1629,77.52
1630,77.32
1631,77.13
1632,76.64
1633,76.44
1634,76.05
1635,76.05
1636,75.46
1637,75.56
1638,75.46
1639,75.27
1640,75.07
1641,74.78
1642,74.68
1643,74.49
1644,74.49
1645,74.49
1646,74.39
1647,74.29
1648,74.1
1649,73.7
1650,73.61
1651,73.41
1652,72.92
1653,72.92
1654,72.53
1655,72.14
